2,1.0,AWOL - A Way Of Life,1,AWOL,4656,Food,Hip-Hop,11/26/2008 01:48:12 AM
3,1.0,AWOL - A Way Of Life,1,AWOL,1470,Electric Ave,Hip-Hop,11/26/2008 01:48:14 AM
5,1.0,AWOL - A Way Of Life,1,AWOL,1933,This World,Hip-Hop,11/26/2008 01:48:20 AM
10,6.0,Constant Hitmaker,6,Kurt Vile,54881,Freeway,Pop,11/25/2008 05:49:06 PM
134,1.0,AWOL - A Way Of Life,1,AWOL,1126,Street Music,Hip-Hop,11/26/2008 01:43:19 AM
139,60.0,Every Man For Himself,54,Alec K. Redfearn & the Eyesores,702,CandyAss,Folk,11/26/2008 01:44:05 AM
140,61.0,The Blind Spot,54,Alec K. Redfearn & the Eyesores,1593,Queen Of The Wires,Folk,11/26/2008 01:44:07 AM
141,60.0,Every Man For Himself,54,Alec K. Redfearn & the Eyesores,839,Ohio,Folk,11/26/2008 01:44:10 AM
142,62.0,The Quiet Room,54,Alec K. Redfearn & the Eyesores,1223,Punjabi Watery Grave,Folk,11/26/2008 01:44:11 AM
144,64.0,Amoebiasis,56,Amoebic Ensemble,1146,Wire Up,Jazz,11/26/2008 01:44:15 AM
145,64.0,Amoebiasis,56,Amoebic Ensemble,968,Amoebiasis,Jazz,11/26/2008 01:44:18 AM
146,65.0,Limbic Rage,56,Amoebic Ensemble,855,Gimme a Buck or I'll Touch You / Boilermaker,Jazz,11/26/2008 01:44:21 AM
147,65.0,Limbic Rage,56,Amoebic Ensemble,930,Repetitive Motion Sickness,Jazz,11/26/2008 01:44:25 AM
189,85.0,What I Know,127,Ed Askew,730,The Thought Of It,Folk,11/26/2008 01:46:50 AM
190,84.0,Blue Piano,127,Ed Askew,1758,Castle Of Stars,Folk,11/26/2008 01:46:54 AM
191,85.0,What I Know,127,Ed Askew,1224,Song About Michael,Folk,11/26/2008 01:46:57 AM
192,85.0,What I Know,127,Ed Askew,472,Ed Talk WNYC,Folk,11/26/2008 01:46:59 AM
193,84.0,Blue Piano,127,Ed Askew,1679,Here With You,Folk,11/26/2008 01:47:02 AM
194,84.0,Blue Piano,127,Ed Askew,1780,All I want to Do,Folk,11/26/2008 01:47:05 AM
195,85.0,What I Know,127,Ed Askew,567,I Remember You,Folk,11/26/2008 01:47:09 AM
196,85.0,What I Know,127,Ed Askew,524,Bright Mr Brother,Folk,11/26/2008 01:47:14 AM
197,84.0,Blue Piano,127,Ed Askew,2286,Piano 2,Folk,11/26/2008 01:47:15 AM
198,84.0,Blue Piano,127,Ed Askew,1784,It Breaks My Heart,Folk,11/26/2008 01:47:18 AM
199,85.0,What I Know,127,Ed Askew,459,Rimbaud,Folk,11/26/2008 01:47:21 AM
200,84.0,Blue Piano,127,Ed Askew,1945,Baby Come Home,Folk,11/26/2008 01:47:25 AM
201,85.0,What I Know,127,Ed Askew,870,Big City,Folk,11/26/2008 01:47:27 AM
202,85.0,What I Know,127,Ed Askew,682,Palomino,Folk,11/26/2008 01:47:30 AM
203,84.0,Blue Piano,127,Ed Askew,1737,Song For R,Folk,11/26/2008 01:47:34 AM
204,84.0,Blue Piano,127,Ed Askew,1954,My Dream,Folk,11/26/2008 01:47:37 AM
205,85.0,What I Know,127,Ed Askew,556,What Crow Saw,Folk,11/26/2008 01:47:41 AM
206,85.0,What I Know,127,Ed Askew,510,Bella Crane,Folk,11/26/2008 01:47:45 AM
207,84.0,Blue Piano,127,Ed Askew,2811,Piano 3,Folk,11/26/2008 01:47:47 AM
208,84.0,Blue Piano,127,Ed Askew,1239,Safe Harbor,Folk,11/26/2008 01:47:49 AM
209,84.0,Blue Piano,127,Ed Askew,1276,Safe Harbor,Folk,11/26/2008 01:47:53 AM
210,84.0,Blue Piano,127,Ed Askew,3706,In the French Court,Folk,11/26/2008 01:47:58 AM
211,84.0,Blue Piano,127,Ed Askew,16106,In America,Folk,11/26/2008 01:48:00 AM
212,84.0,Blue Piano,127,Ed Askew,2299,When I Arive,Folk,11/26/2008 01:48:07 AM
213,86.0,Au,66,Au,2828,Boute,Pop,11/26/2008 01:48:12 AM
226,88.0,Bad News Bats,68,Bad News Bats,2764,W.T.M.,Punk,11/26/2008 01:48:54 AM
228,88.0,Bad News Bats,68,Bad News Bats,2467,Don't Run With Pizzas,Punk,11/26/2008 01:49:00 AM
236,93.0,Bersa Discos #8,73,Banana Clipz,11240,"Push Am (Left, Right)",Electronic,11/26/2008 01:49:25 AM
237,94.0,6,74,Barnacled,1391,Garbage and (Garbage and Fire),Jazz,11/26/2008 01:49:31 AM
238,94.0,6,74,Barnacled,1394,France Attacks,Jazz,11/26/2008 01:49:38 AM
247,100.0,On Opaque Things,80,Bird Names,1549,A New Map for Kissing,Rock,11/26/2008 01:50:17 AM
249,100.0,On Opaque Things,80,Bird Names,1470,The Indefinite Time Yet to Come,Rock,11/26/2008 01:50:23 AM
252,100.0,On Opaque Things,80,Bird Names,512,It's Becoming a Stranger,Rock,11/26/2008 01:50:30 AM
255,100.0,On Opaque Things,80,Bird Names,5585,We Want to be Old,Rock,11/26/2008 01:50:38 AM
256,102.0,Black Elk,81,Black Elk,2864,Toggle,Metal,11/26/2008 01:50:40 AM
257,102.0,Black Elk,81,Black Elk,2177,My Lil',Metal,11/26/2008 01:50:42 AM
258,102.0,Black Elk,81,Black Elk,1779,Eyebone,Metal,11/26/2008 01:50:47 AM
303,108.0,Green Collection,84,Blah Blah Blah,159,Splish spladdy,Post-Punk,11/26/2008 01:52:35 AM
304,109.0,Stripey Collection,84,Blah Blah Blah,241,Woo You,Post-Punk,11/26/2008 01:52:37 AM
305,110.0,Gold Collection,84,Blah Blah Blah,2873,Disney on Ice,Post-Punk,11/26/2008 01:52:40 AM
306,108.0,Green Collection,84,Blah Blah Blah,131,The Prime Four,Post-Punk,11/26/2008 01:52:41 AM
307,108.0,Green Collection,84,Blah Blah Blah,289,Out on the farm,Post-Punk,11/26/2008 01:52:43 AM
308,109.0,Stripey Collection,84,Blah Blah Blah,345,The Hotel,Post-Punk,11/26/2008 01:52:46 AM
309,108.0,Green Collection,84,Blah Blah Blah,147,Where are all the people,Post-Punk,11/26/2008 01:52:49 AM
310,110.0,Gold Collection,84,Blah Blah Blah,194,Going Down to Soho,Post-Punk,11/26/2008 01:52:51 AM
311,109.0,Stripey Collection,84,Blah Blah Blah,1597,Tropical Holiday Time,Post-Punk,11/26/2008 01:52:53 AM
