1,2,rating
1099,3928,5
7139,42459,5
4428,22344,2
537,1606,9
1734,6788,4
4426,22340,8
444,1372,7
176,607,1
7470,46128,3
1938,8455,4
354,1143,1
8150,54286,7
934,3684,5
821,3493,8
7301,44107,9
8833,76354,1
325,1078,1
697,1950,2
5277,29499,2
1290,4409,8
1258,4367,3
1414,4782,9
2181,10823,4
1020,3814,3
8591,68313,4
975,3754,3
1218,4244,2
7669,47948,9
6150,35478,4
8604,69262,5
1255,4364,2
6154,35530,9
9732,124527,7
389,1192,1
1314,4465,6
690,1943,1
3274,15552,2
1110,3940,1
702,1955,3
587,1694,8
164,570,4
1260,4369,9
199,635,7
605,1712,8
7828,49135,8
2659,12752,3
8313,59905,9
530,1599,1
7481,46147,1
1768,7211,4
6158,35539,7
1444,4834,9
1487,5079,7
1055,3869,2
806,3469,7
5859,33186,8
948,3700,9
547,1616,6
437,1365,8
7458,46080,5
1771,7450,5
5248,29450,4
610,1719,8
5245,29447,3
7615,47483,6
1625,5986,9
2048,9988,8
422,1295,5
9619,121587,4
2906,13913,4
8566,67101,1
7667,47946,3
2499,12115,4
3203,15228,4
2049,9989,9
8779,75232,4
6142,35470,9
7898,49933,9
836,3517,5
367,1166,5
8130,54066,3
2037,9863,7
8820,75901,4
940,3690,8
3541,17450,2
2374,11613,7
660,1891,9
1426,4794,2
6151,35525,7
1935,8452,2
7606,47474,4
371,1170,5
8707,72460,9
399,1203,3
6443,37953,5
3465,16693,8
8849,76504,3
5249,29451,5
973,3752,7
549,1618,3
9624,121833,9
8228,56839,3
1315,4466,6
698,1951,1
5677,32457,9
1188,4203,6
1976,8919,7
1144,4106,7
7605,47473,6
710,2009,1
6733,40025,1
3094,14721,3
5072,27844,9
8105,52962,5
4000,19719,8
4535,23189,5
7587,47453,2
1418,4786,7
2920,14172,9
1149,4111,3
8634,69889,2
504,1528,2
7588,47454,4
1151,4113,3
5854,33170,6
2375,11614,1
8832,76353,9
7126,42428,2
3539,17447,5
9164,97658,6
6292,36399,9
1895,8022,5
5013,27427,1
2246,11122,5
434,1362,8
440,1368,8
933,3683,2
8759,75055,8
817,3489,4
8149,54285,8
7000,41496,2
917,3651,1
503,1527,8
895,3620,4
2817,13596,7
3542,17451,4
2921,14173,2
8542,66659,5
7953,50446,5
8485,65872,7
8361,62860,4
177,608,7
3639,17945,8
1897,8024,1
8120,53740,5
1437,4827,4
4004,19724,6
7125,42427,7
828,3501,8
4441,22369,5
9005,86338,6
7004,41500,6
8449,64240,3
8543,66660,2
43,249,3
3285,15609,6
5005,27419,7
379,1182,1
7127,42429,2
7235,43510,2
8089,52358,3
3104,14733,4
7141,42461,6
812,3475,6
5045,27604,7
888,3612,7
1782,7461,2
2187,10830,3
8963,84291,1
976,3755,9
6465,38313,4
3271,15548,5
4088,20054,6
5274,29496,5
8760,75056,2
8487,65878,5
5937,33546,5
7672,47951,6
7137,42457,5
8101,52696,5
337,1106,6
5857,33173,5
5219,28833,2
689,1942,4
2073,10055,8
4422,22333,1
1448,4838,9
382,1185,9
3090,14716,5
1102,3931,5
1450,4841,8
2251,11127,3
1321,4496,1
7584,47448,7
9335,106863,1
8092,52361,7
2958,14334,2
619,1743,2
1098,3927,2
8835,76356,3
3462,16690,1
2621,12540,6
1422,4790,9
916,3650,1
7462,46088,7
8282,58218,9
984,3764,4
7236,43511,7
586,1690,4
8058,51714,3
631,1756,4
521,1590,2
8848,76501,9
7676,47955,6
811,3474,6
1960,8570,5
362,1160,7
1148,4110,4
908,3636,9
423,1296,6
3538,17446,5
814,3478,1
8332,60353,1
3523,17375,2
455,1417,7
1183,4198,3
7831,49138,1
8544,66661,6
7135,42455,8
3966,19639,4
8111,53357,7
7814,49100,7
5672,32452,8
8453,64255,4
3012,14416,3
8109,53346,2
267,851,2
6024,34085,9
1588,5284,5
1219,4245,3
8122,53742,3
2045,9985,9
3642,17948,7
429,1357,4
166,572,8
238,690,7
982,3762,4
3522,17374,9
8324,59978,7
3044,14534,6
7243,43609,6
1887,7994,2
2052,9992,9
1230,4257,8
1320,4495,3
1268,4377,9
275,862,7
7005,41501,9
2278,11306,8
3040,14530,7
7586,47452,8
4429,22347,8
6734,40026,3
8102,52697,7
892,3617,9
294,992,5
4837,25738,1
1256,4365,9
1554,5220,4
3102,14729,7
9728,124523,5
8961,84289,4
3039,14529,5
4093,20059,8
3281,15604,4
7310,44192,6
939,3689,5
8086,52355,1
435,1363,1
8447,64238,7
5299,29822,5
826,3498,4
3100,14727,1
374,1173,6
667,1899,6
7817,49103,3
8177,55447,7
3115,14744,5
2377,11616,5
950,3702,4
659,1890,1
8022,51124,5
4091,20057,8
8661,71366,6
4361,21737,2
609,1718,9
457,1419,1
8166,54947,3
456,1418,9
6042,34429,2
327,1080,4
1439,4829,2
8231,56842,1
4525,23172,8
2252,11128,6
5302,29825,2
7472,46130,8
810,3473,6
7483,46149,5
6911,40941,3
5519,31426,1
1024,3819,1
5275,29497,4
7593,47459,7
8605,69263,6
1103,3932,6
841,3522,1
3470,16698,8
8812,75684,2
1898,8025,4
536,1605,1
1181,4196,8
9626,121835,3
4507,23037,7
918,3653,5
7671,47950,9
622,1746,3
8147,54282,2
2039,9867,8
1523,5160,3
388,1191,8
4337,21524,9
669,1901,1
458,1420,6
9581,117881,6
805,3468,3
1156,4119,7
1502,5104,9
3466,16694,9
2110,10346,1
2038,9866,9
1421,4789,3
893,3618,7
9579,117878,9
407,1279,6
3576,17602,3
8118,53738,9
1484,5063,1
649,1860,1
241,693,7
944,3696,7
3103,14730,6
604,1711,4
