,2,rating
8057,51713,3
1029,3834,8
241,693,6
345,1129,8
4439,22367,6
3269,15546,9
8448,64239,6
342,1125,9
1324,4499,4
5860,33187,1
915,3649,3
3111,14740,9
418,1290,6
1023,3818,3
6995,41490,2
2657,12750,3
326,1079,7
5668,32448,5
9610,121461,5
8409,63477,6
7480,46146,9
8828,76349,3
815,3479,2
1189,4204,7
1772,7451,7
1428,4796,7
3524,17376,2
648,1837,4
8227,56838,2
1102,3931,8
8175,55444,6
337,1106,9
7048,41869,3
6141,35469,3
1783,7474,1
1585,5280,9
1186,4201,7
7677,47956,5
949,3701,7
2038,9866,7
8962,84290,3
8226,56837,1
9003,86335,2
8385,63048,4
666,1898,4
8317,59916,3
600,1707,7
9644,122612,5
3018,14422,9
438,1366,4
268,852,4
3469,16697,2
951,3703,8
1057,3871,1
624,1748,6
5611,32078,9
7459,46083,8
422,1295,7
6040,34427,3
1222,4249,6
6159,35541,3
8456,64262,8
6148,35476,6
1152,4114,3
1187,4202,7
424,1299,4
1501,5103,9
700,1953,1
5011,27425,3
365,1163,7
7464,46090,7
1027,3822,4
351,1140,1
936,3686,1
845,3554,3
1526,5163,5
1227,4254,7
3542,17451,8
670,1902,2
8589,68309,8
6485,38520,1
943,3695,5
6049,34571,1
8811,75683,2
3501,17021,3
649,1860,4
7589,47455,2
3967,19640,4
42,247,5
1782,7461,1
1436,4804,3
8819,75900,5
603,1710,5
3015,14419,3
4337,21524,8
8845,76497,9
8413,63773,5
4335,21522,3
8578,67566,3
659,1890,6
