1,2,rating
998,3784,7
4782,25043,6
5332,29936,5
8653,70907,3
6213,36077,3
5042,27575,7
4949,26957,8
2744,12993,5
7166,42528,1
32,209,4
2010,9548,5
405,1274,6
7100,42235,3
5973,33616,8
1783,7474,6
7813,49099,7
5489,31257,7
7583,47447,5
1691,6603,3
8772,75208,8
9683,123739,2
7704,48244,1
2927,14228,4
9430,110755,4
5758,32801,2
8645,70240,7
6482,38517,2
178,609,4
30,207,2
1322,4497,8
984,3764,7
4324,21415,2
7755,48611,9
1878,7937,9
8823,75905,2
5321,29855,5
316,1052,6
4524,23082,9
9266,99703,4
6021,34059,9
2842,13734,2
2862,13764,4
6039,34426,8
636,1765,2
2150,10680,1
2644,12640,8
6219,36085,6
2335,11511,3
7283,44070,4
8459,64362,3
8473,65033,2
238,690,4
3811,19133,4
6461,38224,4
6807,40428,9
1655,6393,7
7477,46137,3
5468,31120,8
464,1426,1
8254,57304,5
6311,36489,3
1993,9195,8
6073,34688,6
4186,20485,8
6000,33709,8
5114,28331,7
6283,36380,3
5023,27473,8
8250,57298,5
3136,14821,5
5579,31638,6
9301,104066,9
8110,53347,5
4367,21860,3
5258,29460,4
1714,6765,9
5580,31640,5
6183,35615,4
1515,5149,2
4607,23851,6
1508,5140,1
2128,10442,6
8737,74259,6
2395,11715,6
8213,56503,8
3635,17898,3
1518,5153,5
3395,16238,6
3147,14876,7
1325,4500,9
3109,14738,3
4566,23319,3
6898,40844,7
3801,19072,5
2176,10808,5
9046,88863,5
2874,13786,8
2204,10948,6
3283,15607,2
4520,23077,3
3785,18817,9
7953,50446,7
4998,27363,4
4252,20932,4
9755,124817,2
1343,4600,1
809,3472,3
1436,4804,6
7599,47465,3
1224,4251,9
6738,40034,6
8036,51320,2
8825,75907,2
9106,92032,8
1710,6735,1
221,662,3
6187,35949,6
4329,21423,2
8784,75371,2
6434,37917,1
848,3558,6
4352,21716,5
6195,35957,7
1183,4198,9
3200,15225,9
4427,22341,8
4182,20446,9
3752,18717,8
1632,6330,7
1642,6369,2
6345,36959,8
8446,64236,5
2825,13673,4
6465,38313,9
9367,107992,5
2721,12861,4
2343,11520,5
7182,42746,4
7395,45018,4
9290,101081,4
9434,110761,7
3320,15859,9
2486,12060,8
546,1615,3
8815,75746,5
7356,44483,7
1698,6611,2
9764,124857,8
9198,98603,2
3493,16828,7
1119,4015,3
756,3358,8
3679,18256,7
7286,44073,8
6089,34704,8
8553,66851,2
747,3317,9
8289,58396,1
4334,21521,8
8423,63915,6
5817,33026,5
7789,48833,8
276,863,5
6508,38679,6
4499,23010,3
3373,16121,3
2426,11790,2
5782,32903,1
3189,15156,5
1021,3815,9
6721,39957,6
2903,13864,2
3838,19261,4
859,3569,6
3983,19664,3
6034,34164,1
9093,91939,6
1991,9192,9
5657,32435,5
8314,59906,2
6839,40551,1
8932,82897,5
9305,104087,9
257,803,3
249,716,2
4990,27232,7
3624,17882,8
2431,11795,2
6249,36191,8
1024,3819,7
6757,40091,7
3481,16715,9
8928,82892,2
4232,20712,5
6155,35532,8
2231,11049,8
9451,111274,7
1871,7901,9
5385,30179,5
7725,48521,6
